,0
0,Желсіз түнде жарық ай
1,Сәулесі суда дірілдеп
2,Ауылдың жаны терең сай
3,Тасыған өзен күрілдеп
4,Қалың ағаш жапырағы
5,Сыбырласып өзді өзі
6,Көрінбей жердің топырағы
7,Құлпырған жасыл жер жүзі
8,Тау жаңғырып ән қосып
9,Үрген ит пен айтаққа
10,Келмеп пе едің жол тосып
11,Жолығуға аулаққа
12,Таймаңдамай тамылжып
13,Бір суынып бір ысып
14,Дем ала алмай дамыл қып
15,Елең қағып бос шошып
16,Сөз айта алмай бөгеліп
17,Дүрсіл қағып жүрегі
18,Тұрмап па еді сүйеніп
19,Тамаққа кіріп иегі
20,Бес нәрседен қашық бол
21,Өсек өтірік мақтаншақ
22,Еріншек бекер мал шашпақ
23,Желсіз түнде жарық ай
24,Сәулесі суда дірілдеп
25,Ауылдың жаны терең сай
26,Тасыған өзен күрілдеп
27,Қалың ағаш жапырағы
28,Сыбырласып өзді өзі
29,Көрінбей жердің топырағы
30,Құлпырған жасыл жер жүзі
31,Тау жаңғырып ән қосып
32,Үрген ит пен айтаққа
33,Келмеп пе едің жол тосып
34,Жолығуға аулаққа
35,Таймаңдамай тамылжып
36,Бір суынып бір ысып
37,Дем ала алмай дамыл қып
38,Елең қағып бос шошып
39,Сөз айта алмай бөгеліп
40,Дүрсіл қағып жүрегі
41,Тұрмап па еді сүйеніп
42,Тамаққа кіріп иегі
43,Адамзатқа не керек
44,Сүймек сезбек кейімек
45,Харкет қылмақ жүгірмек
46,Ақылмен ойлап сөйлемек
47,Жұмысы жоқтық
48,Тамағы тоқтық
49,Аздырар адам баласын
50,Махаббатпен жаратқан адамзатты
51,Сен де сүй ол аллаһты жаннан тәтті
52,Адамзаттың бәрін сүй бауырым деп
53,Және Хақ жол осы деп әділетті
54,Аллаһ ішіңді айтқызбай біледі ойла
55,Пендесіне қастықпен кінә қойма
56,Распенен таласпа мүмин болсаң
57,Ойла айттым адамдық атын жойма
58,Адамзат – бүгін адам ертең топырақ
59,Бүгінгі өмір жарқылдап алдар бірақ
60,Ертең өзің қайдасың білемісің
61,Өлмек үшін туғансың ойла шырақ
62,Аллаһтың өзі де рас сөзі де рас
63,Рас сөз еш уақытта жалған болмас
64,Адам бір   боқ көтерген боқтың қабы
65,Боқтан сасық боларсың өлсең тағы
66,Менімен сен теңбе деп мақтанасың
67,Білімсіздік белгісі – ол баяғы
68,Әуелі аят хадис сөздің басы
69,Қосарлы бәйітмысал келді арасы
70,Қисынымен қызықты болмаса сөз
71,Неге айтсын Пайғамбар мен оны Аллаһы
72,Көп адам дүниеге бой алдырған
73,Бой алдырып аяғын көп шалдырған
74,Өлді деуге сыя ма ойлаңдаршы
75,Өлмейтұғын артынан сөз қалдырған
76,Интернатта оқып жүр
77,Талай қазақ баласы –
78,Жаңа өспірім көкөрім
79,Бейне қолдың саласы
80,Балам закон білді деп
81,Қуанар ата анасы
82,Ойында жоқ олардың
83,Шариғатқа шаласы
84,Ғалым болмай немене
85,Балалықты қисаңыз
86,Болмасаң да ұқсап бақ
87,Бір ғалымды көрсеңіз
