,0
0,"5 шілдеден бастап Алматыдан Лондонға ұшу жиілігі аптасына үш есеге дейін артады: сейсенбі, бейсенбі және сенбі күндері болады. Бұған дейін Ұлыбританияға"
1,Алматы қалалық сотының судьясы Біржан Кәрібжанов сот отырысынан кейін кенеттен қайтыс болды. Бұл туралы Жоғарғы Сот жанындағы Соттардың қызметін
2,"Алматы көшелерінде көлік қозғалысы уақытша шектеледі, - деп хабарлайды Tengrinews.kz тілшісі Алматы әкімдігінің баспасөз қызметіне сілтеме жасап."
3,"Алматыда Төле би көшесіндегі жылу желілерін реконструкциялауға байланысты қозғалысқа өзгеріс енгізіледі, - деп хабарлайды Tengrinews.kz тілшісі"
4,"Алматыда бірқатар шағынауданда бір күнге суық су болмайды, - деп хабарлайды Tengrinews.kz тілшісі ""Алматы су"" МКК баспасөз қызметіне сілтеме"
5,"Алматыдағы Сейфуллин даңғылы мен Жансүгіров көшесінің қиылысындағы жолайрық салу құны бес миллиард теңгеге қымбаттады, - деп хабарлайды Tengrinews.kz"
6,"Алматыдағы Самал шағынауданындағы Life town сауда орталығынан өрт шықты, - деп хабарлайды Tengrinews.kz тілшісі."
7,"Алматыда Конституцияға өзгерістер мен толықтырулар енгізу жөніндегі референдумға танымал актерлер, әншілер, музыканттар қатысты, - деп хабарлайды"
8,Алматы аумақтық сайлау комиссиясының (АСК) төрайымы Жанна Асанова Желіде дауыс беру жәшіктеріне бюллетеньдер толтырылды деген видео пайда болғанын
9,"Нұр-Сұлтан уақыты бойынша сағат 12.00-де алдын ала мәлімет бойынша, Алматыда референдумға сайлаушылардың қатысу көрсеткіші 20 пайыздан асты,"
10,"1,1 миллионнан астам алматылық Конституцияға түзетулер мен толықтырулар енгізу бойынша жалпыхалықтық референдумда дауыс бере алады. Бұл туралы"
11,"Шенеуніктер Алматы әкімдігінің ғимаратын жөндеу барысы туралы айтты, - деп хабарлайды Tengrinews.kz тілшісі."
12,"Алматы аялдамаларына QR-коды бар жарнамалар орналастырылған. Сол арқылы ""ҚХБ-нің криптовалюта биржасы"" парақшасы ашылады, - деп хабарлайды Tengrinews.kz"
13,"Алматыдағы концертте басы дауға қалған әнші Shiza - Асхат Жолшиев жасаған әрекеті үшін рэп арқылы кешірім сұрады, - деп хабарлайды Tengrinews.kz"
14,"Із-түзсіз жоғалып кеткен 17 жастағы қыз Алматы маңынан өлі табылды, - деп хабарлайды  ""Мой ГОРОД""."
15,"Алматы қаласының Түрксіб ауданындағы бірқатар ғимаратта ыстық су беру уақытша тоқтатылады, - деп хабарлайды Tengrinews.kz тілшісі ""Алматы жылу"
16,"Алматы әуежайындағы халықаралық рейстерді тіркеу орындарында ұзын сонар кезек пайда болды. Бұл туралы куәгерлер айтып берді, - деп хабарлайды"
17,"Алматы қаласының Төтенше жағдайлар департаменті ауа райына байланысты ескерту жариялады, - деп хабарлайды Tengrinews.kz тілшісі."
18,"1 маусымда таңертең Алматы іргесіндегі Жармұхамбет ауылына баратын өткелде ""жигули"" мен пойыз соқтығысты, - деп хабарлайды ""Алматы"" телеарнасы."
19,"Желіде Алматы облысы Еңбекшіқазақ ауданының мұғалімдері чатындағы жанжал қызу талқыға түсті, - деп хабарлайды Tengrinews.kz тілшісі."
20,Қызық әрі пайдалы мақала ✅ Ұсталған шетелдіктер және азаптау туралы шағымдар. Омбудсмен Әзімова қаңтар оқиғасы туралы айтты ⚡ Tengrinews.kz интернет-порталында өзекті тақырыптағы жарияланымдарды онлайн оқыңыз.
21,Қызық әрі пайдалы мақала ✅ Алматыда ғимараттар биіктігі қандай болуы керек? Сарапшылар пікірі ⚡ Tengrinews.kz интернет-порталында өзекті тақырыптағы жарияланымдарды онлайн оқыңыз.
22,"Бас прокуратура 2022 жылдың қаңтарында Алматыда болған оқиғалардың хронологиясын жасады, - деп хабарлайды Tengrinews.kz тілшісі."
23,"Президент Алматы әуежайында жаңа халықаралық терминалдың құрылысын бастауға рұқсат берді, - деп хабарлайды Tengrinews.kz тілшісі."
24,"Президент Қасым-Жомарт Тоқаев Әл-Фараби атындағы Қазақ ұлттық университетіне барды, - деп хабарлайды Tengrinews.kz тілшісі Ақорда сайтына сілтеме"
25,"Президент Қасым-Жомарт Тоқаев Алматы символына қолтаңба қалдырды. Бұл туралы Мемлекет басшысының баспасөз қызметі мәлімдеді, - деп хабарлайды"
26,"Президент Қасым-Жомарт Тоқаев Халықаралық балаларды қорғау күніне орай ""Алматы БалаFEST"" қалалық балалар фестивалінің қорытынды іс-шарасына"
27,"Алматы облысы Талғар ауданының тұрғыны, Қазнетте ""Ксивалы Нұрбол"" атымен танымал Нұрбол Кәрімовтің тағы бір әрекеті әшкере болды, - деп хабарлайды"
28,Алматы әкімдігі өкілі Қоғамдық денсаулық сақтау басқармасы (ҚДСБ) басшысының орынбасары Лаура Мырзағалидің жаңа қызметке тағайындалуы туралы
29,"Жолаушылар пойызы Алматы метросындағы станциялар арасында 15 минутқа тоқтап қалды, - деп хабарлайды Tengrinews.kz тілшісі."
30,"Алматыдағы жаңа метро бекетінде күтпеген жағдай болды. Метродағы ""Сарыарқа"" жазуының Р әрпі түсіп қалған. Желіде суреттері тарады, - деп"
31,"29 мамырда Алматы облысында Tau Jarys табиғат аясында жүгіру жарысы өтті. 1000-ға жуық адам қатысқан отбасылық фестиваль - ""Алатау"" шаңғы-биатлон"
32,"Алматыда ""Сарыарқа"" және ""Бауыржан Момышұлы"" метро станциялары іске қосылды, - деп хабарлайды Tengrinews.kz тілшісі."
33,"30 мамырда сағат 10:00-де ""Сарыарқа"" және ""Бауыржан Момышұлы"" метро станциялары іске қосылады. Олар қазіргі қызмет көрсетіп тұрған тоғыз станцияның"
34,"Желіде кафеде төбелескен ер адамдардың видеосы пайда болды. Облыстық полиция департаменті оқиғаға қатысты түсінік берді, - деп хабарлайды Tengrinews.kz"
